match_score,tier,confidence,title,country,degree_level,funding_type,amount_usd,amount_text,deadline,days_left,url,source,field,university,status
62.7,strong,1.0,35+ International Scholarships for Development-Related Studies,Development-related Studi,"Master,PhD",Full,50000.0,"US$50,000",2027-04-14T23:59:00,203,https://www.scholars4dev.com/12039/scholarships-in-development-related-studies-for-international-students/,scholars4dev_pakistan,"Environment, Public Policy, Education",offered by Universities,active
62.5,strong,1.0,Griffith Vice Chancellor’s International Scholarship,Australia,"Bachelor,Master",Tuition-only,,,2027-04-11T23:59:00,200,https://www.scholars4dev.com/25669/griffith-vice-chancellors-scholarship/,scholars4dev_undergraduate,,"International Scholarship
Griifith University",active
62.05,strong,1.0,Aga Khan Foundation International Scholarship Programme (ISP),"United Kingdom, Canada, Usa, Sweden, Norway, Denmark, Netherlands, Germany, France, Ireland, Egypt, India, Malaysia","Master,PhD",Partial,,50% grant + 50% loan (up to a ceiling); awarded via AKDN offices in Pakistan,2026-10-01T23:59:00,8,https://theakf.org/what-we-do/education/aga-khan-foundation-international-scholarship-programme/,major_funders,Any,,active
61.9,strong,1.0,Commonwealth Distance Learning Scholarships for Developing Commonwealth Countries,Any Country,Master,Full,,Full funding (see benefits list),2027-03-31T23:59:00,189,https://www.scholars4dev.com/3838/distance-learning-scholarships-for-developing-commonwealth-countries/,scholars4dev_pakistan,,UK Universities,active
61.76,strong,0.97,UNIL Master’s Grants in Switzerland for Foreign Students,Switzerland,Master,,17920.0,"CHF 1,600 per month",2026-11-01T23:59:00,39,https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/,scholars4dev_masters,Law,"in Switzerland for Foreign Students
University",active
61.3,strong,1.0,EPFL Excellence Fellowships,Switzerland,"Bachelor,Master",Partial,11.2,CHF 10’000 per,2026-12-15T23:59:00,83,https://www.scholars4dev.com/13349/epfl-excellence-fellowships/,scholars4dev_masters,,Programme offered at University,active
60.7,strong,1.0,Justus & Louise van Effen Excellence Scholarships for International Students at TU Delft,Netherlands,Master,Partial,,,2026-12-01T23:59:00,69,https://www.scholars4dev.com/10809/tu-delft-excellence-scholarships-for-international-students/,scholars4dev_masters,,"Students at TU Delft
Delft University",active
59.46,worth_a_look,1.0,University of New South Wales International Scholarships,Australia,"Bachelor,Master",Partial,0.63,"rm 3, 2026",2027-06-18T23:59:00,268,https://www.scholars4dev.com/23382/unsw-international-scholarships/,scholars4dev_undergraduate,,"New South Wales International Scholarships
University",active
59.43,worth_a_look,1.0,Rhodes Scholarships at Oxford University for International Students,Oxford University For,"Master,PhD",Partial,25908.0,"£20,400 per",2026-10-31T23:59:00,38,https://www.scholars4dev.com/3667/rhodes-international-scholarships-at-oxford-university/,scholars4dev_masters,,Rhodes Scholarships at Oxford University,active
55.55,worth_a_look,0.97,UCL Global Masters Scholarships for International Students,Ternational Students,Master,,19050.0,"£15,000 and is tenable for one year",2027-05-07T23:59:00,226,https://www.scholars4dev.com/27676/ucl-global-masters-scholarships-for-international-students/,scholars4dev_engineering,Any,"Masters Scholarships for International Students
University",active
54.61,worth_a_look,1.0,ARES Scholarships in Belgium for Developing Countries,Belgium,Master,Full,,Full funding (see benefits list),2027-09-18T23:59:00,360,https://www.scholars4dev.com/2489/cud-development-scholarships-for-developing-countries/,scholars4dev_masters,Education,Participating universities,active
53.2,worth_a_look,1.0,Nottingham Developing Solutions Scholarships,UK UK,Master,Tuition-only,,,2027-04-15T23:59:00,204,https://www.scholars4dev.com/2763/developing-solutions-master-scholarships-at-university-of-nottingham/,scholars4dev_pakistan,Any,"Nottingham Developing Solutions Scholarships
University",active
51.24,worth_a_look,1.0,University of the People Online Tuition Free Degrees,Any Country (online,"Bachelor,Master",Tuition-only,48000.0,"$48,000 for a comparable online",2026-10-22T23:59:00,29,https://www.scholars4dev.com/3630/free-online-education-at-university-of-the-people/,scholars4dev_masters,"Business, Education","People Online Tuition Free Degrees
University",active
50.51,worth_a_look,0.93,AAUW International Fellowships in USA for Women,United States,"Master,PhD,Postdoc",,20000.0,"$20,000",2027-09-17T23:59:00,359,https://www.scholars4dev.com/1877/aauw-international-fellowships-in-usa-for-women/,scholars4dev_masters,,,active
48.2,worth_a_look,1.0,Aga Khan Foundation International Scholarship Programme,Any Country,"Master,PhD",Partial,,,2027-03-31T23:59:00,189,https://www.scholars4dev.com/2467/aga-khan-international-scholarships-for-developing-countrie/,scholars4dev_pakistan,,,active
46.16,worth_a_look,1.0,Scholarships in Germany for International Students,Germany For Free,"Bachelor,Master,PhD,Diploma",Tuition-only,3270.0,300 EUR per,2027-05-13T23:59:00,232,https://www.scholars4dev.com/6643/scholarships-in-germany-for-international-students/,scholars4dev_germany,Education,German Universities,active
35.1,ineligible,1.0,Polish National Agency for Academic Exchange (NAWA) — Polish National Swierkosz / Banach & Scholarships for Pakistan,Poland,"Master,PhD",Full,10000.0,"Monthly stipend (~4,000 PLN for master's track programs) + exemption from tuition + accommodation allowance",2026-10-01T23:59:00,8,https://programs.nawa.gov.pl/listing?template=scholarships,major_funders,Any,,active
34.34,ineligible,1.0,"Global Korea Scholarship (GKS-G) — Graduate, Embassy/University track",South Korea,"Master,PhD",Full,7200.0,"Full tuition + ₩1,000,000/month + 1 year Korean language + airfare + settlement allowance",2026-10-01T23:59:00,8,https://www.studyinkorea.go.kr/en/by_scholarship/gks.do,major_funders,Any (priority to STEM and humanities-Korea studies),National Institute,active
34.24,ineligible,1.0,Commonwealth Shared Scholarships (UK) — for developing Commonwealth countries,United Kingdom,Master,Full,,Full tuition + living stipend + airfare + visa + CSC top-up grants,2026-12-18T23:59:00,86,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-shared-scholarships/,major_funders,Development-related (any field with development impact),,active
33.88,ineligible,1.0,Chevening Scholarships (UK Government) — Pakistan,United Kingdom,Master,Full,,Fully funded: tuition + monthly living allowance + flights + visa + arrival/departure grants,2026-10-01T23:59:00,8,https://www.chevening.org/scholarship/pakistan/,major_funders,Any,,active
33.6,ineligible,1.0,Swiss Government Excellence Scholarships for Foreign Students,Switzerland,"PhD,Postdoc",Full,27440.0,"CHF 2,450 per",2026-12-31T23:59:00,99,https://www.scholars4dev.com/3543/swiss-government-scholarships-for-foreign-students/,scholars4dev_masters,Any,Swiss cantonal universities,active
33.45,ineligible,1.0,DAAD EPOS Scholarships — Development-Related Postgraduate Courses (Germany),Germany,"Master,PhD",Full,14170.0,"€992/month (Master) or €1,300/month (PhD) + insurance + travel allowance; tuition usually free at public universities",2026-10-01T23:59:00,8,https://www.daad.de/en/study-and-research-in-germany/scholarships/daad-scholarships/,major_funders,"Engineering, Environment, Public Policy, Business, Health, Agriculture",tuition usually free at public universities,active
31.46,ineligible,1.0,Swedish Institute Scholarships for Global Professionals (SIIS),Sweden,Master,Full,11400.0,"Full tuition + SEK 12,000/month + travel grant + insurance + housing loan option",2027-02-10T23:59:00,140,https://si.se/en/study-sweden/swedish-institute-scholarships-for-global-professionals/,major_funders,"Sustainability, Engineering, Public Policy, Health, Environment",Swedish Institute,active
30.33,ineligible,1.0,Friedrich Naumann Foundation Scholarship for International Students,Germany,"Master,PhD",Partial,9384.9,€ 861 per,2026-10-31T23:59:00,38,https://www.scholars4dev.com/25562/friedrich-naumann-foundation-scholarship-for-international-students/,scholars4dev_germany,Any,other EU state or state-recognized universities,active
29.17,ineligible,1.0,Stipendium Hungaricum (Hungary),Hungary,"Bachelor,Master,PhD",Partial,1179.9,"Tuition waiver + dormitory place or housing allowance + ~43,700 HUF/month stipend (master's)",2027-01-15T23:59:00,114,https://apply.stipendiumhungaricum.hu/,major_funders,Any,,active
28.64,ineligible,1.0,"KGEP (Study in India) — Pakistan nationals, IITs / NITs / IIITs",India,"Bachelor,Master,PhD",Full,4200.0,"Monthly scholarship covering tuition at the admissible rate + ₹35,000/month for postgraduate",2027-06-30T23:59:00,280,https://studyinindia.gov.in/admission/eligibility,major_funders,"Engineering, Data Science, STEM",,active
28.16,ineligible,1.0,Lester B. Pearson International Scholarship Program at University of Toronto,Canada,Bachelor,Full,,Full funding (see benefits list),2026-11-06T23:59:00,44,https://www.scholars4dev.com/20918/lester-b-pearson-international-scholarship-program-at-university-of-toronto/,scholars4dev_undergraduate,,Pearson International Scholarship Program at University,active
27.88,ineligible,1.0,Swedish University (SI / University) scholarships — tuition waiver rounds,Sweden,Master,Tuition-only,,25–100% tuition waiver (living costs not covered),2027-01-15T23:59:00,114,https://www.universityadmissions.se/intl/start,major_funders,Any,Swedish University,active
27.16,ineligible,1.0,Adelaide Global Academic Excellence Scholarships for International Students,Australia,"Bachelor,Master",Partial,,,2027-05-22T23:59:00,241,https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/,scholars4dev_masters,Any,"Excellence Scholarships for International Students
University",active
24.44,ineligible,1.0,Reach Oxford Scholarships for Developing Country Students,Developing Country Studen,Bachelor,Full,,Full funding (see benefits list),2026-10-15T23:59:00,22,https://www.scholars4dev.com/3648/reach-oxford-undergraduate-scholarships-for-developing-country-students/,scholars4dev_undergraduate,Any,"Scholarships for Developing Country Students
University",active
23.36,ineligible,0.93,York University International Student Scholarships,Canada,Bachelor,,180000.0,"$180,000",2027-01-26T23:59:00,125,https://www.scholars4dev.com/3410/international-undergraduate-scholarships-at-york-university/,scholars4dev_engineering,,York University,active
23.32,ineligible,1.0,Glasgow International Leadership Scholarships,UK UK,Master,Tuition-only,12700.0,"£10,000",2026-09-30T23:59:00,7,https://www.scholars4dev.com/22676/glasgow-international-leadership-scholarship/,scholars4dev_pakistan,Any,"Glasgow International Leadership Scholarships
Glasgow University",active
23.12,ineligible,1.0,"OBOR Scholarship (COMSATS University, Pakistan) — for international students",Pakistan,"Master,PhD",Partial,,Up to 100% tuition waiver for students from Belt & Road countries,2026-10-01T23:59:00,8,https://www.cuit.csc.edu.cn/,major_funders,"Engineering, Computer Science, Data Science",COMSATS University,active
22.56,ineligible,0.91,The Canadian International Development Scholarships 2030,Canada,"Master,PhD",,,,2027-03-25T23:59:00,183,https://www.scholars4dev.com/29123/the-canadian-international-development-scholarships-2030/,scholars4dev_germany,Public Policy,Canadian Universities,active
21.66,ineligible,0.93,Melbourne International Undergraduate Scholarships,Australia,Bachelor,,10000.0,"US$10,000 or less based on data publi",2026-10-31T23:59:00,38,https://www.scholars4dev.com/16130/melbourne-international-undergraduate-scholarships/,scholars4dev_undergraduate,,"Melbourne International Undergraduate Scholarships
University",active
20.92,ineligible,1.0,IOE Centenary Doctoral Scholarships,UK UK,PhD,Full,,Full funding (see benefits list),2027-05-04T23:59:00,223,https://www.scholars4dev.com/24483/ioe-ish-centenary-doctoral-scholarships/,scholars4dev_phd,Education,"IOE Centenary Doctoral Scholarships
University College",active
18.38,ineligible,1.0,ASBS Global Impact Scholarship,UK UK,Master,Partial,19050.0,"£15,000 stipend",2027-02-23T23:59:00,153,https://www.scholars4dev.com/29477/asbs-global-impact-scholarship/,scholars4dev_pakistan,Business,"ASBS Global Impact Scholarship
Glasgow University",active
17.58,ineligible,1.0,WMF Empowerment Through Education Scholarships for Developing Country Students,Any Developing Country,Bachelor,Full,3000.0,$3000 USD,2027-03-01T23:59:00,159,https://www.scholars4dev.com/5802/wmf-scholarships-for-developing-country-students/,scholars4dev_engineering,Education,Is applying to university,active
